unix,date,symbol,open,high,low,close,volume-btc,Volume USD
1643760000,2022-02-02 00:00:00,BTC/USD,38768.08,38883.96,36618.36,36923.50,1672.70719509,61762204.11790561
1643673600,2022-02-01 00:00:00,BTC/USD,38483.56,39285.00,38033.78,38733.04,2073.93871710,80329951.28698298
1643587200,2022-01-31 00:00:00,BTC/USD,37914.10,38776.33,36631.66,38491.92,2009.13000337,77335271.35931776
1643500800,2022-01-30 00:00:00,BTC/USD,38176.45,38378.88,37372.59,37941.82,708.79481272,26892965.20115595
1643414400,2022-01-29 00:00:00,BTC/USD,37713.14,38741.67,37327.79,38192.65,1296.90892268,49532388.565794304
1643328000,2022-01-28 00:00:00,BTC/USD,37179.62,38022.11,36173.98,37748.36,2420.65410706,91375722.66877943
1643241600,2022-01-27 00:00:00,BTC/USD,36824.02,37251.00,35511.32,37208.36,3103.82301099,115488163.96919988
1643155200,2022-01-26 00:00:00,BTC/USD,37006.76,38946.00,36279.21,36829.32,3663.15557069,134911528.72272462
1643068800,2022-01-25 00:00:00,BTC/USD,36721.59,37552.30,35722.43,36975.91,2793.69107911,103299269.90897425
1642982400,2022-01-24 00:00:00,BTC/USD,36262.21,38050.00,32950.72,36724.99,6335.15428027,232658477.5913729
1642896000,2022-01-23 00:00:00,BTC/USD,35084.79,36574.47,34624.59,36293.62,2533.70397599,91957289.29707019
1642809600,2022-01-22 00:00:00,BTC/USD,36447.37,36825.98,34000.00,35091.11,4510.37218636,158273966.53249928
1642723200,2022-01-21 00:00:00,BTC/USD,40654.72,41115.58,35423.00,36495.46,6201.04610092,226310029.93428183
1642636800,2022-01-20 00:00:00,BTC/USD,41733.21,43518.69,40554.14,40736.05,2425.15260695,98791137.85434556
1642550400,2022-01-19 00:00:00,BTC/USD,42378.23,42589.90,41145.23,41683.21,1664.70405269,69390208.61612834
1642464000,2022-01-18 00:00:00,BTC/USD,42230.09,42685.25,41290.06,42377.40,1638.87085963,69451085.96688436
1642377600,2022-01-17 00:00:00,BTC/USD,43099.08,43209.47,41581.00,42255.07,1060.00938797,44790770.88932951
1642291200,2022-01-16 00:00:00,BTC/USD,43084.77,43495.59,42615.00,43107.70,621.95302734,26810964.516664512
1642204800,2022-01-15 00:00:00,BTC/USD,43085.76,43826.80,42387.86,43102.01,707.65852297,30501504.73363817
1642118400,2022-01-14 00:00:00,BTC/USD,42579.44,43468.95,41782.21,43102.35,1386.83275834,59775750.9414361
1642032000,2022-01-13 00:00:00,BTC/USD,43935.01,44456.34,42321.00,42571.94,1993.88324273,84883477.77650699
1641945600,2022-01-12 00:00:00,BTC/USD,42754.44,44337.26,42471.17,43933.50,2502.76210107,109955098.76735884
1641859200,2022-01-11 00:00:00,BTC/USD,41842.22,43144.74,41284.11,42736.00,2442.65415081,104389267.78901616
1641772800,2022-01-10 00:00:00,BTC/USD,41853.98,42256.55,39558.70,41845.42,3494.01378649,146208474.38146436
1641686400,2022-01-09 00:00:00,BTC/USD,41697.32,42796.49,41200.00,41875.81,1532.58823403,64178373.69647581
1641600000,2022-01-08 00:00:00,BTC/USD,41576.73,42315.31,40517.05,41690.77,1581.47361959,65932852.93539418
1641513600,2022-01-07 00:00:00,BTC/USD,43093.40,43135.35,40600.00,41535.66,2984.20586087,123950960.00710364
1641427200,2022-01-06 00:00:00,BTC/USD,43417.31,43782.86,42414.00,43097.60,2450.11309350,105593994.0584256
1641340800,2022-01-05 00:00:00,BTC/USD,45828.77,46855.06,42413.59,43435.80,3397.54577759,147575118.88624373
1641254400,2022-01-04 00:00:00,BTC/USD,46464.01,47526.00,45539.05,45820.00,1832.61283694,83970320.18859081
1641168000,2022-01-03 00:00:00,BTC/USD,47290.55,47586.58,45692.13,46439.89,1140.17908832,52949791.441881076
1641081600,2022-01-02 00:00:00,BTC/USD,47745.25,47989.00,46660.00,47350.22,702.09475540,33244341.12903619
1640995200,2022-01-01 00:00:00,BTC/USD,46230.00,47960.98,46199.90,47777.42,741.52060313,35427941.29439533
1640908800,2021-12-31 00:00:00,BTC/USD,47110.30,48589.47,45655.31,46214.37,1798.55260406,83118975.50849235
1640822400,2021-12-30 00:00:00,BTC/USD,46474.59,47916.32,45934.37,47150.71,2162.27044303,101952586.60087904
1640736000,2021-12-29 00:00:00,BTC/USD,47597.70,48157.41,46099.94,46483.36,2089.30815829,97118063.27273105
1640649600,2021-12-28 00:00:00,BTC/USD,50708.05,50719.59,47300.00,47543.30,2215.26863352,105321181.22403143
1640563200,2021-12-27 00:00:00,BTC/USD,50885.32,52098.60,50479.44,50718.11,1102.98343745,55941235.30876723
1640476800,2021-12-26 00:00:00,BTC/USD,50421.51,51292.65,49458.85,50791.21,1015.22197466,51564352.51157074
1640390400,2021-12-25 00:00:00,BTC/USD,50857.42,51179.36,50190.90,50442.22,823.04872916,41516405.067009136
1640304000,2021-12-24 00:00:00,BTC/USD,50850.00,51864.56,50442.34,50841.48,1446.08883091,73521296.37493415
1640217600,2021-12-23 00:00:00,BTC/USD,48618.99,51386.66,48051.10,50850.00,1715.35802664,87225955.654644
1640131200,2021-12-22 00:00:00,BTC/USD,48907.75,49600.00,48449.87,48618.99,1306.16574192,63504459.144751064
1640044800,2021-12-21 00:00:00,BTC/USD,46926.72,49353.49,46667.08,48929.86,1674.16446918,81916633.09395172
1639958400,2021-12-20 00:00:00,BTC/USD,46671.66,47547.50,45572.94,46915.00,1726.01603262,80976042.1703673
1639872000,2021-12-19 00:00:00,BTC/USD,46854.18,48307.34,46450.00,46704.67,1275.49937089,59571777.20262505
1639785600,2021-12-18 00:00:00,BTC/USD,46141.63,47370.14,45501.00,46881.87,827.39374258,38789765.87844902
1639699200,2021-12-17 00:00:00,BTC/USD,47654.99,48018.52,45478.74,46210.92,2077.28024679,95993031.30199295
1639612800,2021-12-16 00:00:00,BTC/USD,48876.84,49449.00,47506.21,47663.42,1456.25725801,69410201.31657898
1639526400,2021-12-15 00:00:00,BTC/USD,48386.95,49514.85,46560.00,48876.84,2593.35180959,126754841.46104088
1639440000,2021-12-14 00:00:00,BTC/USD,46736.70,48689.30,46310.40,48389.96,2016.58981458,97582700.46393362
1639353600,2021-12-13 00:00:00,BTC/USD,50102.31,50226.20,45750.00,46725.02,3337.44792896,155942321.22961456
1639267200,2021-12-12 00:00:00,BTC/USD,49420.51,50800.00,48675.00,50124.38,1233.78838616,61842877.907470584
1639180800,2021-12-11 00:00:00,BTC/USD,47179.53,49539.40,46789.00,49400.54,1323.03955982,65358868.696470305
1639094400,2021-12-10 00:00:00,BTC/USD,47573.43,50132.88,46886.00,47142.42,2705.17070403,127528293.50107794
1639008000,2021-12-09 00:00:00,BTC/USD,50535.15,50839.01,47332.43,47593.12,2585.43270776,123048809.11234662
1638921600,2021-12-08 00:00:00,BTC/USD,50635.87,51249.41,48656.20,50543.30,1598.43571319,80790215.78247613
1638835200,2021-12-07 00:00:00,BTC/USD,50550.09,51991.00,50062.13,50627.32,1719.31761862,87044443.25951271
1638748800,2021-12-06 00:00:00,BTC/USD,49484.00,50986.00,47111.00,50555.00,4652.11767659,235187809.14000744
1638662400,2021-12-05 00:00:00,BTC/USD,49240.81,49777.62,47836.34,49463.22,5156.66613697,255065311.59949723
1638576000,2021-12-04 00:00:00,BTC/USD,53685.47,53877.77,41967.50,49234.97,10025.68966854,493614530.05987686
1638489600,2021-12-03 00:00:00,BTC/USD,56534.26,57652.00,51556.01,53743.69,2964.76818531,159337582.2731632
1638403200,2021-12-02 00:00:00,BTC/USD,57232.71,57413.52,55839.85,56547.96,2758.14469791,155967456.05162677
1638316800,2021-12-01 00:00:00,BTC/USD,57027.28,59099.64,56469.22,57251.59,2515.54071956,144018705.9045541
1638230400,2021-11-30 00:00:00,BTC/USD,57843.33,59250.00,55918.80,56974.12,3562.71762735,202982701.6267542
1638144000,2021-11-29 00:00:00,BTC/USD,57327.32,58931.07,56750.00,57845.12,2069.73496900,119724067.65000129
1638057600,2021-11-28 00:00:00,BTC/USD,54764.24,57482.42,53308.93,57338.55,1377.55454862,78986980.36377531
1637971200,2021-11-27 00:00:00,BTC/USD,53794.32,55382.00,53653.45,54774.66,1360.56586778,74524532.81525446
1637884800,2021-11-26 00:00:00,BTC/USD,59004.88,59207.36,53524.03,53789.35,5221.84056738,280879409.9230014
1637798400,2021-11-25 00:00:00,BTC/USD,57169.19,59445.45,57044.42,58990.14,1362.17480499,80354882.4508328
1637712000,2021-11-24 00:00:00,BTC/USD,57583.91,57750.20,55894.62,57185.06,1809.45432912,103473754.37798694
1637625600,2021-11-23 00:00:00,BTC/USD,56283.80,57897.54,55128.60,57579.99,2732.08480061,157313415.4982758
1637539200,2021-11-22 00:00:00,BTC/USD,58679.27,59516.78,55628.57,56294.11,2943.16337271,165682762.65130776
1637452800,2021-11-21 00:00:00,BTC/USD,59785.85,60090.55,58525.84,58678.47,895.67509480,52556844.17996896
1637366400,2021-11-20 00:00:00,BTC/USD,58126.46,59896.54,57424.27,59768.54,1172.15930996,70058250.60371666
1637280000,2021-11-19 00:00:00,BTC/USD,56924.94,58402.05,55640.00,58128.55,3277.02585927,190488761.5118692
1637193600,2021-11-18 00:00:00,BTC/USD,60376.94,60978.39,56516.44,56917.66,6160.70975752,350653183.3372058
1637107200,2021-11-17 00:00:00,BTC/USD,60115.12,60888.50,58400.00,60373.65,3716.81055911,224397419.81201148
1637020800,2021-11-16 00:00:00,BTC/USD,63621.61,63628.00,58563.00,60142.31,4632.77331708,278625688.9955537
1636934400,2021-11-15 00:00:00,BTC/USD,65509.87,66387.40,63348.91,63606.09,2000.82362240,127264567.4005004
1636848000,2021-11-14 00:00:00,BTC/USD,64403.43,65509.87,63595.76,65509.87,1247.88451724,81748752.49940516
1636761600,2021-11-13 00:00:00,BTC/USD,64140.23,64980.00,63400.00,64417.52,830.13101807,53474981.459144585
1636675200,2021-11-12 00:00:00,BTC/USD,64783.13,65497.53,62294.84,64158.41,2519.30730563,161634751.03060487
1636588800,2021-11-11 00:00:00,BTC/USD,64919.18,65625.44,64140.00,64821.33,1583.28379977,102630561.6685451
1636502400,2021-11-10 00:00:00,BTC/USD,66928.42,69000.00,62856.71,64921.43,3419.11869317,221974074.90032762
1636416000,2021-11-09 00:00:00,BTC/USD,67547.49,68564.40,66250.00,66945.72,2136.85836086,143053521.50579253
1636329600,2021-11-08 00:00:00,BTC/USD,63300.00,67803.55,63300.00,67559.00,2715.42386367,183451320.80568156
1636243200,2021-11-07 00:00:00,BTC/USD,61542.43,63300.00,61396.57,63300.00,1115.66885061,70621838.24361299
